text,label
"Meta-Learning for Time Series Forecasting Ensemble. Amounts of historical data collected increase together with business
intelligence applicability and demands for automatic forecasting of time
series. While no single time series modeling method is universal to all types
of dynamics, forecasting using ensemble of several methods is often seen as a
compromise. Instead of fixing ensemble diversity and size we propose to
adaptively predict these aspects using meta-learning. Meta-learning here
considers two separate random forest regression models, built on 390 time
series features, to rank 22 univariate forecasting methods and to recommend
ensemble size. Forecasting ensemble is consequently formed from methods ranked
as the best and forecasts are pooled using either simple or weighted average
(with weight corresponding to reciprocal rank). Proposed approach was tested on
12561 micro-economic time series (expanded to 38633 for various forecasting
horizons) of M4 competition where meta-learning outperformed Theta and Comb
benchmarks by relative forecasting errors for all data types and horizons. Best
overall results were achieved by weighted pooling with symmetric mean absolute
percentage error of 9.21% versus 11.05% obtained using Theta method.","91B84,G.3; I.5,cs.LG,stat.ME,stat.ML"
"Spatial Attention as an Interface for Image Captioning Models. The internal workings of modern deep learning models stay often unclear to an
external observer, although spatial attention mechanisms are involved. The idea
of this work is to translate these spatial attentions into natural language to
provide a simpler access to the model's function. Thus, I took a neural image
captioning model and measured the reactions to external modification in its
spatial attention for three different interface methods: a fixation over the
whole generation process, a fixation for the first time-steps and an addition
to the generator's attention. The experimental results for bounding box based
spatial attention vectors have shown that the captioning model reacts to method
dependent changes in up to 52.65% and includes in 9.00% of the cases object
categories, which were otherwise unmentioned. Afterwards, I established such a
link to a hierarchical co-attention network for visual question answering by
extraction of its word, phrase and question level spatial attentions. Here,
generated captions for the word level included details of the question-answer
pairs in up to 55.20% of the cases. This work indicates that spatial attention
seen as an external interface for image caption generators is an useful method
to access visual functions in natural language.","cs.CL,cs.CV"
"Temporal Poisson Square Root Graphical Models. We propose temporal Poisson square root graphical models (TPSQRs), a
generalization of Poisson square root graphical models (PSQRs) specifically
designed for modeling longitudinal event data. By estimating the temporal
relationships for all possible pairs of event types, TPSQRs can offer a
holistic perspective about whether the occurrences of any given event type
could excite or inhibit any other type. A TPSQR is learned by estimating a
collection of interrelated PSQRs that share the same template parameterization.
These PSQRs are estimated jointly in a pseudo-likelihood fashion, where Poisson
pseudo-likelihood is used to approximate the original more
computationally-intensive pseudo-likelihood problem stemming from PSQRs.
Theoretically, we demonstrate that under mild assumptions, the Poisson
pseudo-likelihood approximation is sparsistent for recovering the underlying
PSQR. Empirically, we learn TPSQRs from Marshfield Clinic electronic health
records (EHRs) with millions of drug prescription and condition diagnosis
events, for adverse drug reaction (ADR) detection. Experimental results
demonstrate that the learned TPSQRs can recover ADR signals from the EHR
effectively and efficiently.","cs.LG,stat.ML"
"Hybrid Reasoning Network for Video-based Commonsense Captioning. The task of video-based commonsense captioning aims to generate event-wise
captions and meanwhile provide multiple commonsense descriptions (e.g.,
attribute, effect and intention) about the underlying event in the video. Prior
works explore the commonsense captions by using separate networks for different
commonsense types, which is time-consuming and lacks mining the interaction of
different commonsense. In this paper, we propose a Hybrid Reasoning Network
(HybridNet) to endow the neural networks with the capability of semantic-level
reasoning and word-level reasoning. Firstly, we develop multi-commonsense
learning for semantic-level reasoning by jointly training different commonsense
types in a unified network, which encourages the interaction between the clues
of multiple commonsense descriptions, event-wise captions and videos. Then,
there are two steps to achieve the word-level reasoning: (1) a memory module
records the history predicted sequence from the previous generation processes;
(2) a memory-routed multi-head attention (MMHA) module updates the word-level
attention maps by incorporating the history information from the memory module
into the transformer decoder for word-level reasoning. Moreover, the multimodal
features are used to make full use of diverse knowledge for commonsense
reasoning. Experiments and abundant analysis on the large-scale
Video-to-Commonsense benchmark show that our HybridNet achieves
state-of-the-art performance compared with other methods.","68T07,cs.CL,cs.CV"
"SAR: Learning Cross-Language API Mappings with Little Knowledge. To save manual effort, developers often translate programs from one
programming language to another, instead of implementing it from scratch.
Translating application program interfaces (APIs) used in one language to
functionally equivalent ones available in another language is an important
aspect of program translation. Existing approaches facilitate the translation
by automatically identifying the API mappings across programming languages.
However, all these approaches still require large amount of manual effort in
preparing parallel program corpora, ranging from pairs of APIs, to manually
identified code in different languages that are considered as functionally
equivalent. To minimize the manual effort in identifying parallel program
corpora and API mappings, this paper aims at an automated approach to map APIs
across languages with much less knowledge a priori needed than other existing
approaches. The approach is based on an realization of the notion of domain
adaption combined with code embedding, which can better align two vector
spaces: taking as input large sets of programs, our approach first generates
numeric vector representations of the programs, especially the APIs used in
each language, and it adapts generative adversarial networks (GAN) to align the
vectors from the spaces of two languages. For a better alignment, we initialize
the GAN with parameters derived from optional API mapping seeds that can be
identified accurately with a simple automatic signature-based matching
heuristic. Then the cross-language API mappings can be identified via
nearest-neighbors queries in the aligned vector spaces.","cs.LG,cs.SE,stat.ML"
"Performing Deep Recurrent Double Q-Learning for Atari Games. Currently, many applications in Machine Learning are based on define new
models to extract more information about data, In this case Deep Reinforcement
Learning with the most common application in video games like Atari, Mario, and
others causes an impact in how to computers can learning by himself with only
information called rewards obtained from any action. There is a lot of
algorithms modeled and implemented based on Deep Recurrent Q-Learning proposed
by DeepMind used in AlphaZero and Go. In this document, We proposed Deep
Recurrent Double Q-Learning that is an implementation of Deep Reinforcement
Learning using Double Q-Learning algorithms and Recurrent Networks like LSTM
and DRQN.","cs.AI,cs.LG,cs.NE,stat.ML"
"Deep Microlocal Reconstruction for Limited-Angle Tomography. We present a deep learning-based algorithm to jointly solve a reconstruction
problem and a wavefront set extraction problem in tomographic imaging. The
algorithm is based on a recently developed digital wavefront set extractor as
well as the well-known microlocal canonical relation for the Radon transform.
We use the wavefront set information about x-ray data to improve the
reconstruction by requiring that the underlying neural networks simultaneously
extract the correct ground truth wavefront set and ground truth image. As a
necessary theoretical step, we identify the digital microlocal canonical
relations for deep convolutional residual neural networks. We find strong
numerical evidence for the effectiveness of this approach.","35A18,65T60,68T10,cs.CV,cs.LG,cs.NA,math.FA,math.NA"
"Dealing with Non-Stationarity in Multi-Agent Deep Reinforcement Learning. Recent developments in deep reinforcement learning are concerned with
creating decision-making agents which can perform well in various complex
domains. A particular approach which has received increasing attention is
multi-agent reinforcement learning, in which multiple agents learn concurrently
to coordinate their actions. In such multi-agent environments, additional
learning problems arise due to the continually changing decision-making
policies of agents. This paper surveys recent works that address the
non-stationarity problem in multi-agent deep reinforcement learning. The
surveyed methods range from modifications in the training procedure, such as
centralized training, to learning representations of the opponent's policy,
meta-learning, communication, and decentralized learning. The survey concludes
with a list of open problems and possible lines of future research.","cs.AI,cs.LG,cs.MA,stat.ML"
"High-dimensional Graphical Model Search with gRapHD R Package. This paper presents the R package gRapHD for efficient selection of
high-dimensional undirected graphical models. The package provides tools for
selecting trees, forests and decomposable models minimizing information
criteria such as AIC or BIC, and for displaying the independence graphs of the
models. It has also some useful tools for analysing graphical structures. It
supports the use of discrete, continuous, or both types of variables
simultaneously.","stat.CO,stat.ML"
"And/or trade-off in artificial neurons: impact on adversarial robustness. Since its discovery in 2013, the phenomenon of adversarial examples has
attracted a growing amount of attention from the machine learning community. A
deeper understanding of the problem could lead to a better comprehension of how
information is processed and encoded in neural networks and, more in general,
could help to solve the issue of interpretability in machine learning. Our idea
to increase adversarial resilience starts with the observation that artificial
neurons can be divided in two broad categories: AND-like neurons and OR-like
neurons. Intuitively, the former are characterised by a relatively low number
of combinations of input values which trigger neuron activation, while for the
latter the opposite is true. Our hypothesis is that the presence in a network
of a sufficiently high number of OR-like neurons could lead to classification
""brittleness"" and increase the network's susceptibility to adversarial attacks.
After constructing an operational definition of a neuron AND-like behaviour, we
proceed to introduce several measures to increase the proportion of AND-like
neurons in the network: L1 norm weight normalisation; application of an input
filter; comparison between the neuron output's distribution obtained when the
network is fed with the actual data set and the distribution obtained when the
network is fed with a randomised version of the former called ""scrambled data
set"". Tests performed on the MNIST data set hint that the proposed measures
could represent an interesting direction to explore.","cs.AI,cs.CR,cs.LG"
"Manipulating Reinforcement Learning: Poisoning Attacks on Cost Signals. This chapter studies emerging cyber-attacks on reinforcement learning (RL)
and introduces a quantitative approach to analyze the vulnerabilities of RL.
Focusing on adversarial manipulation on the cost signals, we analyze the
performance degradation of TD($\lambda$) and $Q$-learning algorithms under the
manipulation. For TD($\lambda$), the approximation learned from the manipulated
costs has an approximation error bound proportional to the magnitude of the
attack. The effect of the adversarial attacks on the bound does not depend on
the choice of $\lambda$. In $Q$-learning, we show that $Q$-learning algorithms
converge under stealthy attacks and bounded falsifications on cost signals. We
characterize the relation between the falsified cost and the $Q$-factors as
well as the policy learned by the learning agent which provides fundamental
limits for feasible offensive and defensive moves. We propose a robust region
in terms of the cost within which the adversary can never achieve the targeted
policy. We provide conditions on the falsified cost which can mislead the agent
to learn an adversary's favored policy. A case study of TD($\lambda$) learning
is provided to corroborate the results.","cs.CR,cs.LG,cs.SY,eess.SY,math.OC,stat.ML"
